"code","name","description","brand","link","imageAssets","packageSize","shoppable","prices","pricingUnits","badges","stockStatus","articleNumber","uom","taxes","fees","sellerId","sellerName","isVariant","offerType","hasMultipleOffers","sponsored","aisle","averageWeight"
"20081865_EA","Cold-Extracted Extra Virgin Olive Oil","Our 100% extra virgin olive oil is crafted in Italy from the first pressing of ripe olives. Beyond its fruity, fragrant and mildly peppery charms, it’s flavourful enough for dipping and drizzling, but not so strong that it can’t be used for other purposes like whisking and cooking. Think of this as your hard-working kitchen companion, ready to enhance most any dish imaginable.","PC Splendido","/cold-extracted-extra-virgin-olive-oil/p/20081865_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20081865/b1/en/front/20081865_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20081865/b1/en/front/20081865_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20081865/b1/en/front/20081865_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20081865/b1/en/front/20081865_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20081865/b1/en/front/20081865_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20081865/b1/en/front/20081865_front_a01_@2.png""}]","1 l",true,"{""price"":{""value"":10.99,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":1.1,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20081865","EA",,,"8675","maxi",false,"OG",false,false,,
"20047715_EA","100% Extra Virgin Olive Oil","Great for salad dressings, marinades, dipping and drizzling.","No Name","/100-extra-virgin-olive-oil/p/20047715_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20047715/b1/en/front/20047715_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20047715/b1/en/front/20047715_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20047715/b1/en/front/20047715_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20047715/b1/en/front/20047715_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20047715/b1/en/front/20047715_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20047715/b1/en/front/20047715_front_a01_@2.png""}]","750 ml",true,"{""price"":{""value"":6.49,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":0.87,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20047715","EA",,,"8675","maxi",false,"OG",false,false,,
"20105368_EA","Extra Virgin Olive Oil","The trusted name in olive oil","Gallo","/extra-virgin-olive-oil/p/20105368_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20105368/b1/en/front/20105368_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20105368/b1/en/front/20105368_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20105368/b1/en/front/20105368_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20105368/b1/en/front/20105368_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20105368/b1/en/front/20105368_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20105368/b1/en/front/20105368_front_a01_@2.png""}]","1 l",true,"{""price"":{""value"":8.49,""unit"":""ea"",""quantity"":1,""reasonCode"":2,""type"":""SPECIAL""},""wasPrice"":{""value"":9.99,""unit"":""ea"",""quantity"":1,""reasonCode"":null,""type"":null},""comparisonPrices"":[{""value"":0.85,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":{""type"":""SALE"",""text"":""SAVE $1.50"",""expiryDate"":""2023-02-22T00:00:00Z"",""promoType"":null,""name"":""SALE""},""newItemBadge"":null}","OK","20105368","EA",,,"8675","maxi",false,"OG",false,false,,
"20156182001_EA","Rich Taste-Extra Virgin Olive Oil","This quality blend of extra virgin olive oils is “cold pressed” for a naturally full-bodied fruity flavour. The Rich taste is best enjoyed drizzled over pastas, salads, dressings, dips and bread. Smoke Point  392° F/200° C","Bertolli","/rich-taste-extra-virgin-olive-oil/p/20156182001_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20156182001/b1/en/front/20156182001_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20156182001/b1/en/front/20156182001_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20156182001/b1/en/front/20156182001_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20156182001/b1/en/front/20156182001_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20156182001/b1/en/front/20156182001_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20156182001/b1/en/front/20156182001_front_a01_@2.png""}]","1 l",true,"{""price"":{""value"":12.49,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":1.25,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20156182001","EA",,,"8675","maxi",false,"OG",false,false,,
"20160496002_EA","Pure Olive Oil",,"No Name","/pure-olive-oil/p/20160496002_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20160496002/b1/en/front/20160496002_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20160496002/b1/en/front/20160496002_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20160496002/b1/en/front/20160496002_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20160496002/b1/en/front/20160496002_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20160496002/b1/en/front/20160496002_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20160496002/b1/en/front/20160496002_front_a01_@2.png""}]","750 ml",true,"{""price"":{""value"":6.29,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":0.84,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20160496002","EA",,,"8675","maxi",false,"OG",false,false,,
"20729461_EA","Delyssa Premium Extra Virgin Olive Oil","<p class=""MsoNormal""><span style=""color: #191919; mso-ansi-language: EN-CA; mso-bidi-font-weight: bold;""> </span>Terra Delyssa<b> </b>first cold press extra virgin olive oil is perfect for all types of cooking. Its smooth and mild flavor is perfect compliment for all dishes including drizzling, dipping, vinaigrettes, marinades, sautéing, light frying, roasting and baking. <span style=""color: #191919; mso-ansi-language: EN-CA;"">Terra Delyssa </span>is the essential extra virgin olive oil customers have grown to love and trust in their kitchen for years.Made with 100% Tunisian olives, the quality of <span style=""color: #191919; mso-ansi-language: EN-CA;"">Terra Delyssa </span>extra virgin olive oil is controlled from end to end. It is single sourced and all natural, meaning it is not blended with other oils from other countries, or mixed with any additives or preservatives.The result is high quality, versatile, smooth and mild tasting first cold press extra virgin olive oil that’s made just for you.</p>","Terra","/delyssa-premium-extra-virgin-olive-oil/p/20729461_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20729461/b1/en/front/20729461_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20729461/b1/en/front/20729461_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20729461/b1/en/front/20729461_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20729461/b1/en/front/20729461_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20729461/b1/en/front/20729461_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20729461/b1/en/front/20729461_front_a01_@2.png""}]","1 l",true,"{""price"":{""value"":11.99,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":1.2,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20729461","EA",,,"8675","maxi",false,"OG",false,false,,
"20000207001_EA","Extra Light Taste Olive Oil","For the benefits of olive oil without the noticeable taste, substitute Bertolli Extra Light Olive Oil for butter, shortening and other vegetable oils. It’s ideal for high-heat cooking like baking, frying and sautéing. Smoke Point: 410° F / 210°C","Bertolli","/extra-light-taste-olive-oil/p/20000207001_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20000207001/b1/en/front/20000207001_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20000207001/b1/en/front/20000207001_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20000207001/b1/en/front/20000207001_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20000207001/b1/en/front/20000207001_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20000207001/b1/en/front/20000207001_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20000207001/b1/en/front/20000207001_front_a01_@2.png""}]","1 l",true,"{""price"":{""value"":12.49,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":1.25,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20000207001","EA",,,"8675","maxi",false,"OG",false,false,,
"20141395_EA","Extra Virgin Olive Oil Club Size","<p>Keep stocked up on a kitchen staple by adding Extra Virgin Olive Oil Club Size to your pantry. This 100% extra virgin olive oil is great for everyday cooking and frying foods.</pl>","No Name","/extra-virgin-olive-oil-club-size/p/20141395_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20141395/b1/en/front/20141395_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20141395/b1/en/front/20141395_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20141395/b1/en/front/20141395_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20141395/b1/en/front/20141395_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20141395/b1/en/front/20141395_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20141395/b1/en/front/20141395_front_a01_@2.png""}]","3 l",true,"{""price"":{""value"":24.99,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":0.83,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20141395","EA",,,"8675","maxi",false,"OG",false,false,,
"20162539_EA","Cold-Extracted Extra Virgin Olive Oil","Our 100% extra virgin olive oil is crafted in Italy from the first extracting of ripe olives. Beyond its fruity, fragrant and mildly peppery charms, it’s flavourful enough for dipping and drizzling, but not so strong that it can’t be used for other purposes like whisking, drizzling and cooking. Think of this as your hard-working kitchen companion, ready to enhance most any dish imaginable.","PC Splendido","/cold-extracted-extra-virgin-olive-oil/p/20162539_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20162539/b1/en/front/20162539_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20162539/b1/en/front/20162539_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20162539/b1/en/front/20162539_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20162539/b1/en/front/20162539_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20162539/b1/en/front/20162539_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20162539/b1/en/front/20162539_front_a01_@2.png""}]","500 ml",true,"{""price"":{""value"":6.69,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":1.34,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20162539","EA",,,"8675","maxi",false,"OG",false,false,,
"20045250_EA","Cold-Pressed Extra Virgin Olive Oil","A kitchen essential, this cold-pressed extra virgin olive oil retains its fruity and subtle flavour during cooking.  Perfect for drizzling on salads, dipping with bread and brushing on bruschetta.","PC Splendido","/cold-pressed-extra-virgin-olive-oil/p/20045250_EA","[{""imageUrl"":null,""smallUrl"":""https://assets.shop.loblaws.ca/products/20045250/b1/en/front/20045250_front_a01_@2.png"",""mediumUrl"":""https://assets.shop.loblaws.ca/products/20045250/b1/en/front/20045250_front_a01_@2.png"",""largeUrl"":""https://assets.shop.loblaws.ca/products/20045250/b1/en/front/20045250_front_a01_@2.png"",""smallRetinaUrl"":""https://assets.shop.loblaws.ca/products/20045250/b1/en/front/20045250_front_a01_@2.png"",""mediumRetinaUrl"":""https://assets.shop.loblaws.ca/products/20045250/b1/en/front/20045250_front_a01_@2.png"",""largeRetinaUrl"":""https://assets.shop.loblaws.ca/products/20045250/b1/en/front/20045250_front_a01_@2.png""}]","3 l",true,"{""price"":{""value"":26.99,""unit"":""ea"",""quantity"":1,""reasonCode"":4,""type"":""REGULAR""},""wasPrice"":null,""comparisonPrices"":[{""value"":0.9,""unit"":""ml"",""quantity"":100,""reasonCode"":null,""type"":null}]}","{""type"":""SOLD_BY_EACH"",""unit"":""ea"",""interval"":1,""minOrderQuantity"":1,""maxOrderQuantity"":25,""weighted"":false}","{""textBadge"":null,""loyaltyBadge"":null,""dealBadge"":null,""newItemBadge"":null}","OK","20045250","EA",,,"8675","maxi",false,"OG",false,false,,
